ACF	A1CF
ACF64	A1CF
ACF65	A1CF
APOBEC1CF	A1CF
ASP	A1CF
CCDS73133.1	A1CF
ENSG00000148584.14	A1CF
NM_001198819.1	A1CF
NP_001185748	A1CF
ABI-1	ABI1
CCDS7150.1	ABI1
E3B1	ABI1
ENSG00000136754.17	ABI1
NM_005470.3	ABI1
NP_005461	ABI1
NP_001334958.1	ABI1
Q8IZP0	ABI1
SSH3BP1	ABI1
ABL	ABL1
CCDS35165.1	ABL1
ENSG00000097007.17	ABL1
JTK7	ABL1
NM_007313.2	ABL1
NP_009297	ABL1
P00519	ABL1
c-ABL	ABL1
p150	ABL1
ABLL	ABL2
ARG	ABL2
CCDS30947.1	ABL2
ENSG00000143322.19	ABL2
NM_007314.3	ABL2
NP_009298	ABL2
P42684	ABL2
CCDS2516.1	ACKR3
CMKOR1	ACKR3
CXCR7	ACKR3
ENSG00000144476.5	ACKR3
GPR159	ACKR3
NM_020311.2	ACKR3
NP_064707	ACKR3
P25106	ACKR3
RDC1	ACKR3
ACS3	ACSL3
CCDS2455.1	ACSL3
ENSG00000123983.13	ACSL3
FACL3	ACSL3
NM_004457.3	ACSL3
NP_004448	ACSL3
NP_001341088.1	ACSL3
NP_001341087.1	ACSL3
O95573	ACSL3
PRO2194	ACSL3
ACS2	ACSL6
CCDS34229.1	ACSL6
ENSG00000164398.12	ACSL6
FACL6	ACSL6
KIAA0837	ACSL6
LACS2	ACSL6
LACS5	ACSL6
NM_001009185.2	ACSL6
NP_001009185	ACSL6
Q9UKU0	ACSL6
ACVR1A	ACVR1
ACVRLK2	ACVR1
ALK2	ACVR1
CCDS2206.1	ACVR1
ENSG00000115170.13	ACVR1
NM_001347666.1	ACVR1
NP_001096	ACVR1
NP_001334595.1	ACVR1
NP_001334594.1	ACVR1
NP_001334592.1	ACVR1
Q04771	ACVR1
SKR1	ACVR1
ACVRLK4	ACVR1B
ALK4	ACVR1B
ActRIB	ACVR1B
CCDS44894.2	ACVR1B
ENSG00000135503.12	ACVR1B
NM_020328.3	ACVR1B
NP_064733	ACVR1B
P36896	ACVR1B
SKR2	ACVR1B
ACTRII	ACVR2A
ACVR2	ACVR2A
CCDS33301.1	ACVR2A
ENSG00000121989.14	ACVR2A
NM_001616.4	ACVR2A
NP_001607	ACVR2A
NP_001265508	ACVR2A
P27037	ACVR2A
AF-6	AFDN
AF6	AFDN
CCDS78199.1	AFDN
ENSG00000130396.20	AFDN
MLLT4	AFDN
NM_001291964.1	AFDN
NP_001278893	AFDN
AF-4	AFF1
AF4	AFF1
CCDS54775.1	AFF1
ENSG00000172493.20	AFF1
MLLT2	AFF1
NM_001166693.2	AFF1
NP_001160165	AFF1
P51825	AFF1
PBM1	AFF1
CCDS33258.1	AFF3
ENSG00000144218.18	AFF3
LAF4	AFF3
MLLT2-like	AFF3
NM_001025108.1	AFF3
NP_001020279	AFF3
P51826	AFF3
AF5Q31	AFF4
CCDS4164.1	AFF4
ENSG00000072364.12	AFF4
MCEF	AFF4
NM_014423.3	AFF4
NP_055238	AFF4
Q9UHB7	AFF4
AKAP350	AKAP9
AKAP450	AKAP9
CCDS5622.1	AKAP9
CG-NAP	AKAP9
ENSG00000127914.16	AKAP9
HYPERION	AKAP9
KIAA0803	AKAP9
LQT11	AKAP9
MU-RMS-40.16A	AKAP9
NM_147185.2	AKAP9
NP_005742	AKAP9
NP_671714.1	AKAP9
PPP1R45	AKAP9
PRKA9	AKAP9
Q99996	AKAP9
YOTIAO	AKAP9
AKT	AKT1
CCDS9994.1	AKT1
ENSG00000142208.15	AKT1
P31749	AKT1
PKB	AKT1
PRKBA	AKT1
RAC	AKT1
CCDS12552.1	AKT2
ENSG00000105221.16	AKT2
NM_001626.5	AKT2
NP_001617	AKT2
P31751	AKT2
CCDS31077.1	AKT3
ENSG00000117020.16	AKT3
NM_005465.4	AKT3
NP_005456	AKT3
PKBG	AKT3
PRKBG	AKT3
Q9Y243	AKT3
RAC-gamma	AKT3
CCDS9155.1	ALDH2
ENSG00000111275.12	ALDH2
NM_000690.3	ALDH2
NP_000681	ALDH2
P05091	ALDH2
CCDS33172.1	ALK
CD246	ALK
ENSG00000171094.17	ALK
NM_004304.4	ALK
NP_004295	ALK
Q9UM73	ALK
CCDS14377.2	AMER1
ENSG00000184675.9	AMER1
FAM123B	AMER1
FLJ39827	AMER1
NM_152424.3	AMER1
NP_689637	AMER1
Q5JTC6	AMER1
RP11-403E24.2	AMER1
WTX	AMER1
ANK	ANK1
CCDS47849.1	ANK1
ENSG00000029534.20	ANK1
NM_001142446.1	ANK1
NP_001135918	ANK1
P16157	ANK1
SPH1	ANK1
CCDS4107.1	APC
DP2	APC
DP2.5	APC
DP3	APC
ENSG00000134982.16	APC
NM_001354901.1	APC
NP_000029	APC
NP_001341826.1	APC
NP_001341827.1	APC
NP_001341830.1	APC
NP_001341828.1	APC
NP_001341824.1	APC
P25054	APC
PPP1R46	APC
CCDS13982.1	APOBEC3B
ENSG00000179750.15	APOBEC3B
